class,subject,LTminutes,LThour,LT2to5h,LTabove5h,L1,L2,L3,L4,coursebook,notebook,notebooks,apps,websites,flashards,books,prosGoodMark,prosInterest,prosPositivMark,prosJoy,prosJob,prosStudies,badWellBeing,busySchedule,hatred,entertainment,socialLife,attitude,determination,goodSchedule,goodScheduleLearn,joyResignation,teacher,questions,grade,gradeEvaluation,motivationAfter,actualMotivation,sex
trzeciej,maturalny,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,prawidlowyPrzebieg,takNie,1,nizsza,lekkoMaleje,2,K
pierwszej,inny,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,brakUwagi,nieTak,3,wyzsza,bezZmian,3,K
drugiej,maturalny,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,prawidlowyPrzebieg,takNie,1,nizsza,lekkoMaleje,3,K
pierwszej,maturalny,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,prawidlowyPrzebieg,nieTak,1,nizsza,mocnoMaleje,3,M
drugiej,maturalny,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,prawidlowyPrzebieg,nieNie,1,nizsza,mocnoMaleje,1,M
pierwszej,inny,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,2,dokladnie,lekkoMaleje,1,M
trzeciej,maturalny,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,brakUwagi,takTak,4,nizsza,chcePracowac,3,K
drugiej,maturalny,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,pilnowal,nieNie,6,dokladnie,mocnoRosnie,4,K
drugiej,inny,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,brakUwagi,takNie,4,dokladnie,bezZmian,2,M
trzeciej,inny,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,pilnowal,takNie,2,nizsza,lekkoMaleje,2,K
pierwszej,zawodowy,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,pilnowal,nieNie,5,dokladnie,bezZmian,3,K
pierwszej,inny,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,pilnowal,nieTak,2,nizsza,bezZmian,3,M
drugiej,inny,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,prawidlowyPrzebieg,takNie,1,nizsza,mocnoMaleje,3,K
drugiej,inny,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,pilnowal,takNie,1,nizsza,mocnoMaleje,1,K
pierwszej,zawodowy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieTak,3,nizsza,bezZmian,3,M
drugiej,inny,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,pilnowal,nieNie,3,dokladnie,bezZmian,1,K
trzeciej,inny,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,prawidlowyPrzebieg,nieTak,3,dokladnie,bezZmian,3,K
pierwszej,inny,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,4,nizsza,chcePracowac,3,K
